Epoch	SMILES	Valid
1	Cc1noc(C)c1S(=O)(=O)N(CC(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1)c1ccc(Cl)cc1	1.0
1	CC(=O)NC(C)c1ccc(OC2CCN(c3nc(N4CCOC(C)C4=O)ncc3Cl)C2)cc1	1.0
1	O=C(O)CCCN1C(=O)C(=C2C(=O)N(Cc3ccccc3Cl)c3ccccc32)SC1=S	1.0
1	CN(Cc1ccc(F)cc1)C(=O)C1OC(=O)N(O)C12Cl	0.0
1	COc1ccccc1COc1ccc(S(=O)(=O)N2CCCCC2C(=O)NO)cc1	1.0
1	Cc1c(NC2CC2)nc(C(C)(C)C)nc1-c1cc(Br)ccc1Oc1ccccc1	1.0
1	O=C(O)C(NC(=O)C(CC1CCCCC1)NCC(=O)O)C(=O)O	1.0
1	Cc1cccc([S+]([O-])Nc2nnc([S+](C)S(=O)(=O)c3ccc(Cl)cc3)s2)c1	1.0
1	CSCCC(NC(=O)c1ccc(COc2ccccn2)cc1)C(=O)O	1.0
1	Oc1nnc(-c2ccccc2)c2nn(-c3ccccc3)c(O)c12	1.0
1	CC1C(=O)NN=C2COCC=C12	1.0
1	O=S(=O)(NCC=Nc1ccccc1)c1cc(Cl)c(Cl)cc1Cl	1.0
1	COc1ccc(-c2[nH]nc(N)c2C#N)cc1Cl	1.0
1	COc1ccc(CCN2C(=O)CCC2=O)cc1OC	1.0
1	Nc1nc(Cl)n(-c2ccccc2)n1	1.0
1	c1ccc(-c2nnc3c4c(c(OCc5ccco5)nn23)CCCC4)cc1	1.0
1	Cc1ccc(OCC(=O)Sc2nc3c(c(=O)n2CCO)SCC=C3)n1	0.0
1	O=C(Nc1cccs1)N(CCc1ccccc1)Cc1nc(-c2ccccc2)no1	1.0
1	CCCCN1CC2CC3(C4Cc5cc(OC)ccc54)C4N=C4CCC3C1(O)C2O	1.0
1	CCN1C(=O)c2nc(NC3CCCC3)n(Cc3ccc(OC)cc3)c2C1=O	1.0
1	CCc1nnc(NS(=O)(=O)c2cc(F)c(Br)c(Br)c2)s1	1.0
1	O=C(O)C1CC(c2ccccc2F)=NO1	1.0
1	O=S(=O)(Nc1ccc2oc(O)nc2c1Cl)N1CCC(O)CC1	1.0
1	NC(=O)n1cc(NC(=O)N2CC(F)CC2C(=O)NCc2ccc(Cl)cc2F)c2ccccc21	1.0
1	CC(=O)c1cnc2ccc(-c3cncc(Cl)c3)cc2c1Nc1ccc(N2CCNCC2)nc1	1.0
1	Cc1nc2c(C)cccc2c(-c2ccc(OC(=O)NC3CCCCC3)cc2)c1=O	0.0
1	COc1ccc2c(c1)OC(=O)C1CCCC=C21	1.0
1	CCOc1ccc(CC(=O)NN=Cc2ccncc2)cc1	1.0
1	O=S(=O)(Cl)CO	1.0
1	O=S(=O)(NC1CN2CCC1CC2)c1cccc(C(F)(F)F)c1	1.0
1	Cc1cc(C)cc(S(=O)(=O)n2cnc3cc(Cl)ccc32)c1	1.0
1	Cc1cc(N2CCOCC2)ccc1S(=O)(=O)N=C1C(=O)N(c2ccccc2)N(C)C1=O	1.0
1	O=c1[nH]c2ccccc2c(=O)n1CCCCO	1.0
1	O=C(N1CC(C(F)(F)F)(N2CC(N3CC[S+]([O-])C3=O)C2)C1)N1CC1	1.0
1	COC(=O)C1=C(C)NC(=O)n2nc(-c3ccccc3)c(C(=O)O)c21	1.0
1	CCOc1ccc(N2C(=O)NC(=O)C(=Cc3ccc(Sc4nc5ccccc5[nH]4)o3)C2=O)cc1	1.0
1	N#CCNC(=O)C1CCC(C(=O)N2CCCC2)C1	1.0
1	CCN(CC)S(=O)(=O)c1ccc(S(=O)(=O)Nc2cc3oc4ccccc4c3cc2OC)cc1	1.0
1	COC1C(O)C(O)C(Oc2ccc(-c3ccccc3)c(C(=O)CCl)c2)OC1(C)C	1.0
1	COCCN(C(=O)CSc1nnc(-c2ccc3c(c2)OCO3)o1)c1c(N)n(CC(C)CC)c2ccccc12	1.0
1	COc1cc(-c2ccc(OS(N)(=O)=O)cc2)c(Cl)cc1Cl	1.0
1	CCCN(CCC)CCCNC(=O)c1cn(C)c2ccc(S(=O)(=O)N(C)C3CCCCC3)cc2c1=O	1.0
1	CNC(=O)c1c(NC(=O)c2ccccc2)sn1-c1ccccc1	1.0
1	O=[N+]([O-])c1cc(CSc2nnnn2-c2ccc(Cl)cc2)sc1Cl	1.0
1	O=C(c1ccccc1)c1ccc2nc(NS(=O)(=O)c3ccccc3)sc2c1	1.0
1	O=C(O)c1cc(Nc2cccc(Cl)c2)ccc1Cl	1.0
1	O=C(CCC1OC(n2ccc(=O)[nH]c2=O)C(O)C1O)NC(=O)c1ccccc1	1.0
1	O=NCC1OC2OC3(C(=O)C(O)CC3=N1c1ccccc1)OC2n1cnc2cc(C(=N)N)ccc21	0.0
1	O=S(=O)(c1ccccc1Cl)N(CCO)c1nc(Nc2cc(O)cc([N+](=O)[O-])c2)nc1Cl	0.0
1	COc1ccc(-n2nc3c(N4CCC(C(=O)NC(C)C)C4)ncnc3c2C#N)cc1	1.0
1	COc1ccc(C2=NOC(C(=O)NC(C)C)C2)cc1	1.0
1	Cn1cc(-c2cc(NS(C)(=O)=O)ccc2Oc2ccc(F)cc2F)c2cc(C(O)(C(F)(F)F)C(F)(F)F)nc21	0.0
1	CC(=O)Nc1cccc(SC(N)=O)c1	1.0
1	O=C(CSc1nnc(NC2CCCCC2)s1)NN=Cc1ccccc1	1.0
1	CN(C)c1ccc(C(=O)NS(=O)(=O)Cc2ccccc2)cn1	1.0
1	Cn1ncc(Cl)c1-c1cc(NC(=O)Nc2ccc(OC(F)(F)F)cc2)c(Cl)cc1N1CS(=O)(=O)CO1	1.0
1	CCn1c(CN2CCN(C(=O)c3cc(F)cc(F)c3)CC2)nc2ccccc21	1.0
1	COc1cccc(C(=O)NC2(C(F)(F)F)C(=O)N(Cc3ccccn3)C(C)=N2)c1	1.0
1	CCOC1(OCC)C(c2ccc(Cl)cc2Cl)Oc2c(Cl)cc(Cl)cc21	1.0
1	N#Cc1cnn2cccc(OC(O)COC(=O)c3ccccc3)c12	1.0
1	CCOC(=O)C1C2COc3cc(OC)ccc3C2N2C(=O)N(c3cccc(C)c3)C(=O)C12	1.0
1	Cc1c(-c2ccc(O)c(F)c2)nnc(N2CCN(c3cncc(C#N)c3)CC2)c1F	1.0
1	CC(Sc1nc(=O)c(C#N)c(SC)c(N)c1C#N)C(C#N)=C(N)N	1.0
1	CCOC(=O)c1nn(C(=O)OC(C)(C)C)c2ccc([N+](=O)[O-])cc12	1.0
1	Cc1cc(C)c(NC(=O)CSc2nc3c(cc2C#N)CCCC3)c(C)c1	1.0
1	O=C(NC1CC1)C1(S(=O)(=O)c2ccc(Cl)cc2)C2CCCSC21	1.0
1	Cc1ccc(S(=O)(=O)n2nc(N)cc2N)cc1	1.0
1	Cc1noc(-c2ccccc2Oc2ccccc2NC(=O)c2csc3ccccc23)n1	1.0
1	O=C(O)CCCC=C1CC2CC(Br)C(C2)C1	1.0
1	CCOC(=O)C1=NN(c2ccccc2OC)C2=NC(C)=C(C(=O)OC)C(c3ccc(N)nc31)C2	1.0
1	COc1ccc(NC(=O)N(C)CC2Oc3c(N(C(=O)C(C)C)C(C)C)cccc3[n+]([O-])n2CC=C)n1	0.0
