Epoch	SMILES	Valid	Desired	CDPKit_ROCS_Supermol_TanimotoCombo	SA
1	CC(C)C(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3c(C)cccc3)c3c2cccc3)CC1	1.0	0	0.128	0.968
1	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1ccccc1	1.0	0	0.171	0.973
1	COc1ccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c2cccc3OC)cc1	1.0	0	0.153	0.961
1	CCOC(=O)N1CCC(NS(=O)(=O)c2ccc(NCc3ccccc3)c3ccccc23)CC1	1.0	0	0.141	0.972
1	Cc1cc(N2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)c(C)cc1	1.0	0	0.136	0.954
1	O=S(=O)(NC1CCN(Cc2ccc3cc(F)ccc3c2)CC1)c1ccccc1	1.0	0	0.065	0.982
1	O=C(O)c1c(Oc2cnccc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cccc1	1.0	0	0.135	0.972
1	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(N2CCCCC2)cc1	1.0	0	0.154	0.975
1	Nc1nn2c(O)c(Cc3ccc(Br)cc3)c(C3CCCC3)nc2n1	1.0	1	0.51	0.924
1	COc1nc(Br)cnc1NS(=O)(=O)c1c(Cl)cccc1Cl	1.0	1	0.231	0.949
1	Cc1cccc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C3(C)CCOCC3)cc2)n1	1.0	0	0.114	0.94
1	Cc1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1	1.0	0	0.075	0.991
1	O=S(=O)(Nc1cc(Cl)c(Cl)cc1Cn1ccnn1)c1cccc(Cl)c1	1.0	0	0.162	0.955
1	O=S(=O)(Nc1cc(Cl)c(Cl)cc1Cn1ccnn1)c1cccc(Cl)c1	1.0	0	0.162	0.955
1	CC(=O)C1=C(O)C(=O)N(c2ccc(Cl)cc2F)C1C1CCCCC1	1.0	1	0.395	0.9
1	CC(=O)C1=C(O)C(=O)N(c2cc(F)c(Cl)cc2)C1C1CCCCC1	1.0	1	0.39	0.901
1	Cc1c(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(S(C)(=O)=O)cc2)cccn1	1.0	0	0.105	0.972
1	COc1nc(F)c(F)nc1NS(=O)(=O)c1cccc(Cl)c1Cl	1.0	0	0.108	0.93
