Epoch	SMILES	Valid
1	CCOC(=O)CSc1nc(=O)n2cccc(C)c2n1	1.0
1	CCN1CCN(C(=O)CSc2nc(O)c3c(C)c(C(=O)O)sc3n2)CC1	1.0
1	CNC(=O)c1ccccc1S(=O)(=O)c1cc(Br)cc2nsnc12	1.0
1	COc1ccc(S(=O)(=O)N2CCc3cc(S(=O)(=O)N4CCN(C(=O)C=Cc5ccc(N(C)C)cc5)CC4)cc32)cc1	0.0
1	CN(C)CCCNC(=O)CC1C=Cc2ccccc21	1.0
1	CC(=O)N(OCc1ccccc1)C(=O)CCl	1.0
1	CN(C)C(=O)C(c1ccc(-c2ccc(C(C)(C)C)cc2)cc1)C(N)C(=O)N1CCC(F)C1	1.0
1	O=[N+]([O-])c1ccc(-n2nnc(-c3cnc4ccccc4c3)n2)nc1	1.0
1	CC(C)COC(=O)C1SC(NC(C)=O)=NC1=O	1.0
1	Cn1c(S)nnc1Cn1nnc(-c2ccc(Cl)cc2Cl)n1	1.0
1	CC1=CC(C)(C)N(C(=O)CSC2=NS(=O)(=O)c3cc([N+](=O)[O-])ccc32)S1	1.0
1	COC(O)=C1C(C)=CC(=O)N1I	1.0
1	N#CC(C=Nc1ccc2ncccc2c1)C[N+](=O)[O-]	1.0
1	Cc1c(C(=O)Nc2cc(Cl)cc(Cl)c2)cccc1[N+](=O)[O-]	1.0
1	CCN(C(=O)CSc1nc2ccc([N+](=O)[O-])cc2s1)c1cc(OC)c(OC)c(F)c1	1.0
1	Cc1c(Cn2nc(C3CCCNC3)c3cccnc32)ccc2c1NC(=O)C(N)C2	1.0
1	CC(CN1C(=O)NC(CS(=O)(=O)c2ccccc2)=C1S(=O)(=O)c1ccccc1)c1ccccc1	1.0
1	COc1ccc(C(C)=O)cc1CC1OC(=O)C=C1I	1.0
1	O=C(NC1N=C(c2ccccc2)c2ccccc2NC1=O)NO	1.0
