Name	ShapeQuery	Rank	TanimotoCombo	ShapeTanimoto	ColorTanimoto	Active
ZINC03981735_168	Trypsin_2.sq	1	0.777	0.412	0.365	0
ZINC04617942_123	Trypsin_2.sq	2	0.733	0.422	0.311	1
ZINC04617942_123	Trypsin_2.sq	3	0.733	0.422	0.311	1
ZINC04617941_165	Trypsin_2.sq	4	0.726	0.414	0.312	1
ZINC04617941_165	Trypsin_2.sq	5	0.726	0.414	0.312	1
ZINC03815826_171	Trypsin_2.sq	6	0.712	0.386	0.325	1
ZINC03815826_171	Trypsin_2.sq	7	0.712	0.386	0.325	1
ZINC01545941_90	Trypsin_2.sq	8	0.702	0.402	0.300	0
ZINC01903301_107	Trypsin_2.sq	9	0.693	0.386	0.307	0
ZINC03977123_83	Trypsin_2.sq	10	0.685	0.479	0.207	0
ZINC03977105_82	Trypsin_2.sq	11	0.683	0.467	0.216	0
ZINC03834187_105	Trypsin_2.sq	12	0.681	0.384	0.297	1
ZINC04222194_91	Trypsin_2.sq	13	0.671	0.437	0.234	0
ZINC03941269_7	Trypsin_2.sq	14	0.665	0.413	0.252	0
ZINC04633604_196	Trypsin_2.sq	15	0.665	0.387	0.277	0
ZINC04222193_160	Trypsin_2.sq	16	0.663	0.430	0.233	0
ZINC03815826_84	Trypsin_2.sq	17	0.662	0.352	0.310	1
ZINC03977049_197	Trypsin_2.sq	18	0.662	0.472	0.190	0
ZINC03938554_27	Trypsin_2.sq	19	0.661	0.391	0.270	0
ZINC04393950_38	Trypsin_2.sq	20	0.661	0.452	0.209	0
ZINC03790022_73	Trypsin_2.sq	21	0.661	0.464	0.197	0
ZINC04222433_126	Trypsin_2.sq	22	0.660	0.484	0.176	0
ZINC01553076_147	Trypsin_2.sq	23	0.659	0.428	0.231	0
ZINC03840473_80	Trypsin_2.sq	24	0.659	0.434	0.224	0
ZINC03938552_133	Trypsin_2.sq	25	0.657	0.412	0.246	0
ZINC04222428_34	Trypsin_2.sq	26	0.657	0.482	0.175	0
ZINC03914911_52	Trypsin_2.sq	27	0.656	0.416	0.240	0
ZINC03959444_8	Trypsin_2.sq	28	0.656	0.400	0.256	0
ZINC03811853_52	Trypsin_2.sq	29	0.652	0.458	0.194	0
ZINC01631479_122	Trypsin_2.sq	30	0.649	0.452	0.197	0
ZINC01631479_172	Trypsin_2.sq	31	0.648	0.447	0.201	0
ZINC03987406_99	Trypsin_2.sq	32	0.648	0.407	0.240	0
ZINC03870904_56	Trypsin_2.sq	33	0.646	0.415	0.231	0
ZINC04222272_153	Trypsin_2.sq	34	0.646	0.472	0.174	0
ZINC03790011_39	Trypsin_2.sq	35	0.645	0.468	0.177	0
ZINC00771629_196	Trypsin_2.sq	36	0.644	0.419	0.226	0
ZINC04147300_83	Trypsin_2.sq	37	0.643	0.471	0.173	0
ZINC01909195_191	Trypsin_2.sq	38	0.643	0.431	0.212	0
ZINC03841640_88	Trypsin_2.sq	39	0.642	0.464	0.178	0
ZINC03987397_68	Trypsin_2.sq	40	0.642	0.402	0.239	0
ZINC03785241_171	Trypsin_2.sq	41	0.640	0.466	0.174	0
ZINC04222431_51	Trypsin_2.sq	42	0.640	0.473	0.167	0
ZINC02138251_117	Trypsin_2.sq	43	0.639	0.412	0.227	0
ZINC03977126_173	Trypsin_2.sq	44	0.639	0.439	0.200	0
