Name	ShapeQuery	Rank	TanimotoCombo	ShapeTanimoto	ColorTanimoto	Active
ZINC03815825_142	Trypsin_3.sq	1	0.789	0.382	0.407	1
ZINC03815825_168	Trypsin_3.sq	2	0.748	0.382	0.367	1
ZINC04150044_14	Trypsin_3.sq	3	0.728	0.442	0.286	0
ZINC01902817_172	Trypsin_3.sq	4	0.723	0.426	0.297	0
ZINC00597948_33	Trypsin_3.sq	5	0.709	0.393	0.315	0
ZINC03815826_136	Trypsin_3.sq	6	0.706	0.385	0.321	1
ZINC03832370_44	Trypsin_3.sq	7	0.701	0.375	0.326	1
ZINC03941269_1	Trypsin_3.sq	8	0.696	0.388	0.308	0
ZINC04393950_180	Trypsin_3.sq	9	0.689	0.463	0.226	0
ZINC04633604_68	Trypsin_3.sq	10	0.685	0.403	0.282	0
ZINC03790022_55	Trypsin_3.sq	11	0.681	0.460	0.221	0
ZINC03815826_100	Trypsin_3.sq	12	0.679	0.374	0.306	1
ZINC03815826_100	Trypsin_3.sq	13	0.679	0.374	0.306	1
ZINC03785211_119	Trypsin_3.sq	14	0.676	0.447	0.229	0
ZINC03790011_37	Trypsin_3.sq	15	0.676	0.452	0.224	0
ZINC02242841_175	Trypsin_3.sq	16	0.675	0.413	0.262	0
ZINC04617942_144	Trypsin_3.sq	17	0.674	0.390	0.285	1
ZINC04617942_144	Trypsin_3.sq	18	0.674	0.390	0.285	1
ZINC03841660_11	Trypsin_3.sq	19	0.673	0.442	0.231	0
ZINC03841640_35	Trypsin_3.sq	20	0.671	0.460	0.212	0
ZINC04147300_97	Trypsin_3.sq	21	0.670	0.453	0.217	0
ZINC03785220_140	Trypsin_3.sq	22	0.669	0.456	0.213	0
ZINC01535955_119	Trypsin_3.sq	23	0.667	0.433	0.234	0
ZINC03987403_117	Trypsin_3.sq	24	0.665	0.379	0.286	0
ZINC04222430_111	Trypsin_3.sq	25	0.664	0.456	0.208	0
ZINC03820532_135	Trypsin_3.sq	26	0.663	0.399	0.264	0
ZINC01548106_189	Trypsin_3.sq	27	0.663	0.391	0.272	0
ZINC03816706_137	Trypsin_3.sq	28	0.663	0.434	0.229	0
ZINC03627213_138	Trypsin_3.sq	29	0.662	0.454	0.208	0
ZINC03959453_190	Trypsin_3.sq	30	0.661	0.407	0.253	0
ZINC03785241_70	Trypsin_3.sq	31	0.658	0.459	0.199	0
ZINC02975662_132	Trypsin_3.sq	32	0.658	0.476	0.182	0
ZINC03987402_144	Trypsin_3.sq	33	0.657	0.379	0.278	0
ZINC04617941_162	Trypsin_3.sq	34	0.656	0.370	0.286	1
ZINC04617941_162	Trypsin_3.sq	35	0.656	0.370	0.286	1
ZINC03842084_1	Trypsin_3.sq	36	0.654	0.388	0.267	0
ZINC03952614_163	Trypsin_3.sq	37	0.654	0.387	0.267	0
ZINC03962674_47	Trypsin_3.sq	38	0.653	0.406	0.246	0
ZINC02222760_125	Trypsin_3.sq	39	0.653	0.396	0.257	0
ZINC02866540_120	Trypsin_3.sq	40	0.652	0.397	0.255	0
ZINC03820532_121	Trypsin_3.sq	41	0.652	0.396	0.256	0
ZINC01372730_181	Trypsin_3.sq	42	0.651	0.433	0.218	0
ZINC03960308_43	Trypsin_3.sq	43	0.651	0.400	0.250	0
ZINC03834125_184	Trypsin_3.sq	44	0.649	0.393	0.256	1
ZINC03816706_112	Trypsin_3.sq	45	0.649	0.436	0.212	0
ZINC04176349_90	Trypsin_3.sq	46	0.649	0.436	0.213	0
ZINC03987406_151	Trypsin_3.sq	47	0.648	0.372	0.276	0
ZINC03987397_97	Trypsin_3.sq	48	0.647	0.366	0.281	0
ZINC03962673_14	Trypsin_3.sq	49	0.647	0.404	0.243	0
ZINC03816706_122	Trypsin_3.sq	50	0.647	0.367	0.279	0
ZINC03817194_98	Trypsin_3.sq	51	0.646	0.420	0.226	0
ZINC03817194_99	Trypsin_3.sq	52	0.646	0.421	0.224	0
ZINC01902820_186	Trypsin_3.sq	53	0.645	0.397	0.248	0
ZINC03981735_162	Trypsin_3.sq	54	0.644	0.421	0.223	0
ZINC02860445_67	Trypsin_3.sq	55	0.644	0.431	0.212	0
ZINC03859051_168	Trypsin_3.sq	56	0.643	0.420	0.223	0
ZINC03928466_138	Trypsin_3.sq	57	0.642	0.385	0.257	0
ZINC03841621_177	Trypsin_3.sq	58	0.642	0.455	0.186	0
ZINC03841617_152	Trypsin_3.sq	59	0.641	0.452	0.189	0
ZINC03938552_69	Trypsin_3.sq	60	0.640	0.385	0.255	0
ZINC03933732_22	Trypsin_3.sq	61	0.640	0.395	0.245	0
ZINC03870904_135	Trypsin_3.sq	62	0.639	0.396	0.243	0
ZINC03960678_120	Trypsin_3.sq	63	0.637	0.408	0.229	0
ZINC04260539_6	Trypsin_3.sq	64	0.636	0.398	0.238	0
ZINC03832369_183	Trypsin_3.sq	65	0.634	0.389	0.245	1
ZINC03841624_1	Trypsin_3.sq	66	0.633	0.418	0.215	0
ZINC03185845_60	Trypsin_3.sq	67	0.633	0.382	0.251	0
ZINC03545191_86	Trypsin_3.sq	68	0.633	0.393	0.240	0
ZINC03914911_46	Trypsin_3.sq	69	0.633	0.421	0.211	0
ZINC03959484_163	Trypsin_3.sq	70	0.632	0.391	0.241	0
