Name	ShapeQuery	Rank	TanimotoCombo	ShapeTanimoto	ColorTanimoto	Active
ZINC01545941_52	Trypsin_2.sq	1	0.662	0.353	0.309	0
ZINC03977123_83	Trypsin_2.sq	2	0.625	0.471	0.154	0
ZINC04617942_14	Trypsin_2.sq	3	0.620	0.410	0.210	1
ZINC04617942_14	Trypsin_2.sq	4	0.620	0.410	0.210	1
ZINC03977105_24	Trypsin_2.sq	5	0.615	0.474	0.141	0
ZINC03870904_56	Trypsin_2.sq	6	0.613	0.413	0.201	0
ZINC04222428_34	Trypsin_2.sq	7	0.613	0.482	0.130	0
ZINC01903301_87	Trypsin_2.sq	8	0.612	0.389	0.223	0
ZINC04222272_186	Trypsin_2.sq	9	0.610	0.470	0.139	0
ZINC04222433_126	Trypsin_2.sq	10	0.608	0.487	0.122	0
ZINC03790022_27	Trypsin_2.sq	11	0.606	0.466	0.140	0
ZINC03815826_171	Trypsin_2.sq	12	0.605	0.370	0.235	1
ZINC03815826_171	Trypsin_2.sq	13	0.605	0.370	0.235	1
ZINC04222193_160	Trypsin_2.sq	14	0.603	0.429	0.174	0
ZINC04222430_87	Trypsin_2.sq	15	0.602	0.468	0.134	0
ZINC03938552_133	Trypsin_2.sq	16	0.600	0.419	0.181	0
ZINC03841617_176	Trypsin_2.sq	17	0.597	0.472	0.126	0
ZINC04222431_62	Trypsin_2.sq	18	0.596	0.471	0.125	0
ZINC01631479_172	Trypsin_2.sq	19	0.596	0.448	0.148	0
ZINC04633604_196	Trypsin_2.sq	20	0.595	0.386	0.209	0
ZINC03980301_22	Trypsin_2.sq	21	0.594	0.455	0.140	0
ZINC03959464_42	Trypsin_2.sq	22	0.593	0.432	0.161	0
ZINC03950795_75	Trypsin_2.sq	23	0.592	0.386	0.206	0
ZINC03977049_197	Trypsin_2.sq	24	0.591	0.470	0.122	0
ZINC04222194_98	Trypsin_2.sq	25	0.591	0.424	0.167	0
ZINC01882070_47	Trypsin_2.sq	26	0.591	0.453	0.138	0
ZINC03811853_66	Trypsin_2.sq	27	0.591	0.446	0.145	0
ZINC04222445_109	Trypsin_2.sq	28	0.591	0.460	0.131	0
ZINC03785241_82	Trypsin_2.sq	29	0.590	0.470	0.120	0
ZINC04147300_37	Trypsin_2.sq	30	0.589	0.488	0.101	0
ZINC03834119_146	Trypsin_2.sq	31	0.588	0.426	0.162	1
ZINC03790011_41	Trypsin_2.sq	32	0.588	0.465	0.123	0
ZINC03841660_8	Trypsin_2.sq	33	0.588	0.449	0.139	0
ZINC04237007_198	Trypsin_2.sq	34	0.587	0.469	0.118	0
ZINC03928466_106	Trypsin_2.sq	35	0.587	0.410	0.177	0
ZINC03938554_148	Trypsin_2.sq	36	0.586	0.381	0.205	0
ZINC03834125_175	Trypsin_2.sq	37	0.585	0.460	0.125	1
ZINC04222439_110	Trypsin_2.sq	38	0.585	0.469	0.116	0
ZINC00771629_65	Trypsin_2.sq	39	0.585	0.422	0.162	0
ZINC03841640_88	Trypsin_2.sq	40	0.584	0.464	0.120	0
ZINC03333552_186	Trypsin_2.sq	41	0.583	0.380	0.204	0
ZINC01553076_196	Trypsin_2.sq	42	0.583	0.445	0.138	0
ZINC01909195_191	Trypsin_2.sq	43	0.582	0.432	0.149	0
ZINC03832370_140	Trypsin_2.sq	44	0.581	0.445	0.136	1
ZINC04617941_182	Trypsin_2.sq	45	0.581	0.362	0.219	1
ZINC04617941_182	Trypsin_2.sq	46	0.581	0.362	0.219	1
ZINC03840473_98	Trypsin_2.sq	47	0.581	0.445	0.136	0
ZINC04222514_140	Trypsin_2.sq	48	0.581	0.453	0.129	0
ZINC02222760_97	Trypsin_2.sq	49	0.581	0.479	0.102	0
ZINC03834135_131	Trypsin_2.sq	50	0.580	0.414	0.166	1
ZINC00770143_147	Trypsin_2.sq	51	0.580	0.510	0.070	0
ZINC03834129_145	Trypsin_2.sq	52	0.578	0.446	0.132	1
ZINC02138251_117	Trypsin_2.sq	53	0.578	0.407	0.171	0
ZINC03775827_12	Trypsin_2.sq	54	0.578	0.392	0.186	0
ZINC03841650_186	Trypsin_2.sq	55	0.577	0.465	0.112	0
ZINC03977147_196	Trypsin_2.sq	56	0.577	0.428	0.149	0
ZINC03815826_71	Trypsin_2.sq	57	0.576	0.362	0.214	1
ZINC03914911_52	Trypsin_2.sq	58	0.576	0.415	0.162	0
ZINC02138942_173	Trypsin_2.sq	59	0.576	0.405	0.171	0
ZINC00767720_26	Trypsin_2.sq	60	0.576	0.382	0.194	0
ZINC03981735_168	Trypsin_2.sq	61	0.575	0.391	0.183	0
ZINC03791580_172	Trypsin_2.sq	62	0.575	0.391	0.184	0
ZINC03841659_199	Trypsin_2.sq	63	0.574	0.462	0.112	0
ZINC04150044_78	Trypsin_2.sq	64	0.574	0.484	0.091	0
ZINC03670360_146	Trypsin_2.sq	65	0.574	0.454	0.120	0
ZINC03959444_108	Trypsin_2.sq	66	0.573	0.390	0.183	0
ZINC02224425_101	Trypsin_2.sq	67	0.573	0.465	0.108	0
ZINC03343938_169	Trypsin_2.sq	68	0.573	0.437	0.135	0
ZINC02663356_26	Trypsin_2.sq	69	0.572	0.420	0.152	0
ZINC03841658_16	Trypsin_2.sq	70	0.572	0.455	0.117	0
ZINC04393950_180	Trypsin_2.sq	71	0.572	0.477	0.095	0
ZINC03807302_176	Trypsin_2.sq	72	0.572	0.404	0.168	0
ZINC03959458_43	Trypsin_2.sq	73	0.571	0.438	0.133	0
ZINC01631479_122	Trypsin_2.sq	74	0.571	0.453	0.118	0
ZINC03987402_17	Trypsin_2.sq	75	0.571	0.381	0.190	0
ZINC03834187_159	Trypsin_2.sq	76	0.570	0.366	0.204	1
ZINC03987406_14	Trypsin_2.sq	77	0.570	0.380	0.190	0
ZINC04356047_162	Trypsin_2.sq	78	0.570	0.443	0.126	0
ZINC03841657_144	Trypsin_2.sq	79	0.570	0.464	0.106	0
ZINC00770153_24	Trypsin_2.sq	80	0.570	0.377	0.193	0
ZINC03987397_15	Trypsin_2.sq	81	0.570	0.378	0.192	0
ZINC04340537_135	Trypsin_2.sq	82	0.570	0.436	0.134	0
ZINC03834121_159	Trypsin_2.sq	83	0.569	0.397	0.173	1
ZINC03841656_18	Trypsin_2.sq	84	0.569	0.460	0.110	0
ZINC02043468_139	Trypsin_2.sq	85	0.568	0.415	0.154	1
ZINC03841013_11	Trypsin_2.sq	86	0.568	0.443	0.125	0
ZINC03841621_177	Trypsin_2.sq	87	0.568	0.457	0.111	0
ZINC03834132_48	Trypsin_2.sq	88	0.567	0.428	0.139	1
ZINC03841653_7	Trypsin_2.sq	89	0.567	0.475	0.092	0
ZINC02712630_168	Trypsin_2.sq	90	0.567	0.394	0.172	0
ZINC03841624_14	Trypsin_2.sq	91	0.566	0.446	0.120	0
ZINC03841646_34	Trypsin_2.sq	92	0.566	0.442	0.124	0
ZINC03977126_185	Trypsin_2.sq	93	0.565	0.436	0.129	0
ZINC01535967_76	Trypsin_2.sq	94	0.565	0.362	0.203	0
ZINC03841625_87	Trypsin_2.sq	95	0.565	0.446	0.119	0
ZINC03959453_192	Trypsin_2.sq	96	0.565	0.403	0.162	0
ZINC02242841_191	Trypsin_2.sq	97	0.565	0.426	0.139	0
ZINC03377880_151	Trypsin_2.sq	98	0.565	0.376	0.189	0
ZINC03841649_32	Trypsin_2.sq	99	0.563	0.449	0.114	0
ZINC04222191_188	Trypsin_2.sq	100	0.563	0.397	0.166	0
ZINC03941621_39	Trypsin_2.sq	101	0.563	0.410	0.153	0
ZINC03841655_132	Trypsin_2.sq	102	0.563	0.454	0.109	0
ZINC03807319_103	Trypsin_2.sq	103	0.563	0.394	0.169	0
ZINC03834176_144	Trypsin_2.sq	104	0.562	0.441	0.121	1
ZINC03832369_183	Trypsin_2.sq	105	0.562	0.389	0.172	1
ZINC03834178_53	Trypsin_2.sq	106	0.562	0.359	0.202	1
ZINC02712629_143	Trypsin_2.sq	107	0.562	0.403	0.160	0
ZINC00771641_149	Trypsin_2.sq	108	0.562	0.477	0.085	0
ZINC03962674_167	Trypsin_2.sq	109	0.562	0.397	0.165	0
ZINC03834155_90	Trypsin_2.sq	110	0.561	0.412	0.150	1
ZINC03775827_14	Trypsin_2.sq	111	0.561	0.392	0.168	0
ZINC03834118_125	Trypsin_2.sq	112	0.560	0.432	0.128	1
ZINC03841837_12	Trypsin_2.sq	113	0.560	0.445	0.115	0
ZINC00770994_157	Trypsin_2.sq	114	0.560	0.424	0.136	0
ZINC03834124_159	Trypsin_2.sq	115	0.559	0.422	0.137	1
ZINC04382511_97	Trypsin_2.sq	116	0.559	0.455	0.105	0
ZINC03820532_47	Trypsin_2.sq	117	0.559	0.429	0.130	0
ZINC03841662_187	Trypsin_2.sq	118	0.559	0.465	0.094	0
ZINC01548103_89	Trypsin_2.sq	119	0.559	0.382	0.176	0
ZINC03941269_7	Trypsin_2.sq	120	0.559	0.422	0.137	0
ZINC02401823_190	Trypsin_2.sq	121	0.559	0.455	0.104	0
ZINC03818733_107	Trypsin_2.sq	122	0.558	0.452	0.106	0
ZINC02654818_52	Trypsin_2.sq	123	0.558	0.427	0.131	0
ZINC03980052_130	Trypsin_2.sq	124	0.558	0.436	0.122	0
ZINC03959072_65	Trypsin_2.sq	125	0.558	0.429	0.129	0
ZINC03633212_153	Trypsin_2.sq	126	0.558	0.441	0.117	0
ZINC02130567_117	Trypsin_2.sq	127	0.558	0.444	0.114	0
ZINC02252933_72	Trypsin_2.sq	128	0.557	0.450	0.108	0
ZINC03765981_162	Trypsin_2.sq	129	0.557	0.465	0.093	0
ZINC03948981_128	Trypsin_2.sq	130	0.557	0.385	0.172	0
ZINC04383610_80	Trypsin_2.sq	131	0.557	0.416	0.141	0
ZINC00770809_59	Trypsin_2.sq	132	0.557	0.469	0.087	0
ZINC03820532_17	Trypsin_2.sq	133	0.557	0.419	0.137	0
ZINC03766053_121	Trypsin_2.sq	134	0.556	0.463	0.093	0
ZINC03819921_150	Trypsin_2.sq	135	0.556	0.433	0.123	0
ZINC02352409_182	Trypsin_2.sq	136	0.556	0.420	0.135	0
ZINC03780338_15	Trypsin_2.sq	137	0.556	0.401	0.154	0
ZINC03819377_41	Trypsin_2.sq	138	0.555	0.442	0.114	0
ZINC03980155_175	Trypsin_2.sq	139	0.555	0.432	0.124	0
ZINC03987403_192	Trypsin_2.sq	140	0.555	0.320	0.235	0
ZINC01882073_98	Trypsin_2.sq	141	0.555	0.429	0.126	0
ZINC02138945_146	Trypsin_2.sq	142	0.555	0.418	0.137	0
ZINC02445827_129	Trypsin_2.sq	143	0.555	0.440	0.115	0
ZINC02450445_37	Trypsin_2.sq	144	0.555	0.429	0.126	0
ZINC02712629_115	Trypsin_2.sq	145	0.554	0.416	0.139	0
ZINC03980301_40	Trypsin_2.sq	146	0.554	0.429	0.125	0
