Name	ShapeQuery	Rank	TanimotoCombo	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	ColorScore	Overlap	Unnamed: 14	Active
ZINC03815825_136	1C5T.pdb_1GJ6.pdb_1QBO.pdb	1	0.686	0.37	0.316	1.77	1.191	0.578	0.76	0.349	0.411	-8.303	2148.244		1
ZINC04617942_141	1C5T.pdb_1GJ6.pdb_1QBO.pdb	3	0.685	0.399	0.286	1.96	1.425	0.536	0.738	0.357	0.381	-7.689	2191.419		1
ZINC04617942_141	1C5T.pdb_1GJ6.pdb_1QBO.pdb	2	0.685	0.399	0.286	1.96	1.425	0.536	0.738	0.357	0.381	-7.689	2191.419		1
ZINC04617941_149	1C5T.pdb_1GJ6.pdb_1QBO.pdb	5	0.678	0.379	0.299	2.041	1.488	0.553	0.731	0.337	0.393	-7.946	2068.335		1
ZINC04617941_149	1C5T.pdb_1GJ6.pdb_1QBO.pdb	4	0.678	0.379	0.299	2.041	1.488	0.553	0.731	0.337	0.393	-7.946	2068.335		1
ZINC03960308_161	1C5T.pdb_1GJ6.pdb_1QBO.pdb	6	0.65	0.373	0.277	1.677	1.109	0.567	0.711	0.36	0.351	-7.057	2218.842		0
ZINC00597948_33	1C5T.pdb_1GJ6.pdb_1QBO.pdb	7	0.638	0.376	0.261	1.65	1.169	0.481	0.721	0.357	0.364	-7.361	2199.305		0
ZINC03815825_107	1C5T.pdb_1GJ6.pdb_1QBO.pdb	8	0.635	0.369	0.266	1.695	1.189	0.506	0.708	0.348	0.36	-7.262	2143.076		1
ZINC03987406_46	1C5T.pdb_1GJ6.pdb_1QBO.pdb	9	0.633	0.349	0.284	1.786	1.232	0.554	0.696	0.327	0.369	-7.425	2011.326		0
ZINC04633604_89	1C5T.pdb_1GJ6.pdb_1QBO.pdb	10	0.627	0.395	0.232	1.831	1.377	0.453	0.679	0.357	0.322	-6.505	2192.361		0
ZINC03785211_119	1C5T.pdb_1GJ6.pdb_1QBO.pdb	11	0.626	0.432	0.194	1.748	1.356	0.391	0.666	0.388	0.278	-5.62	2385.697		0
ZINC03785220_140	1C5T.pdb_1GJ6.pdb_1QBO.pdb	12	0.626	0.438	0.188	1.689	1.322	0.367	0.673	0.396	0.278	-5.62	2436.752		0
ZINC03987397_56	1C5T.pdb_1GJ6.pdb_1QBO.pdb	13	0.618	0.378	0.24	1.815	1.329	0.485	0.668	0.346	0.323	-6.501	2123.245		0
ZINC03815826_136	1C5T.pdb_1GJ6.pdb_1QBO.pdb	14	0.612	0.376	0.236	1.859	1.454	0.405	0.698	0.336	0.361	-7.373	2063.269		1
ZINC03790011_31	1C5T.pdb_1GJ6.pdb_1QBO.pdb	15	0.609	0.43	0.179	1.68	1.327	0.353	0.655	0.389	0.267	-5.401	2392.93		0
ZINC02975662_198	1C5T.pdb_1GJ6.pdb_1QBO.pdb	17	0.608	0.454	0.154	1.552	1.253	0.299	0.656	0.416	0.24	-4.87	2566.293		0
ZINC04393950_180	1C5T.pdb_1GJ6.pdb_1QBO.pdb	16	0.608	0.439	0.169	1.613	1.298	0.315	0.665	0.399	0.266	-5.412	2457.088		0
ZINC03790022_16	1C5T.pdb_1GJ6.pdb_1QBO.pdb	18	0.608	0.428	0.18	1.71	1.356	0.354	0.653	0.385	0.268	-5.428	2366.226		0
ZINC04150044_97	1C5T.pdb_1GJ6.pdb_1QBO.pdb	19	0.605	0.443	0.163	1.587	1.272	0.315	0.656	0.404	0.252	-5.114	2492.098		0
