Name	ShapeQuery	Rank	TanimotoCombo	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	ColorScore	Overlap	Unnamed: 14	Active
ZINC04617942_187	1GJ6.pdb_1H4W.pdb_1QBN.pdb	1	0.685	0.415	0.27	1.929	1.352	0.578	0.711	0.375	0.336	-8.444	2027.276		1
ZINC04617942_187	1GJ6.pdb_1H4W.pdb_1QBN.pdb	2	0.685	0.415	0.27	1.929	1.352	0.578	0.711	0.375	0.336	-8.444	2027.276		1
ZINC03981735_183	1GJ6.pdb_1H4W.pdb_1QBN.pdb	3	0.676	0.39	0.287	1.794	1.162	0.632	0.714	0.37	0.344	-8.623	2003.625		0
ZINC04617941_184	1GJ6.pdb_1H4W.pdb_1QBN.pdb	5	0.667	0.414	0.253	2.012	1.463	0.549	0.686	0.366	0.32	-8.03	1977.751		1
ZINC04617941_184	1GJ6.pdb_1H4W.pdb_1QBN.pdb	4	0.667	0.414	0.253	2.012	1.463	0.549	0.686	0.366	0.32	-8.03	1977.751		1
ZINC01545941_81	1GJ6.pdb_1H4W.pdb_1QBN.pdb	6	0.656	0.347	0.309	1.615	1.038	0.577	0.742	0.343	0.399	-10.082	1859.075		0
ZINC03815826_171	1GJ6.pdb_1H4W.pdb_1QBN.pdb	7	0.649	0.377	0.272	1.852	1.344	0.507	0.713	0.344	0.37	-9.36	1856.54		1
ZINC01903301_167	1GJ6.pdb_1H4W.pdb_1QBN.pdb	8	0.649	0.341	0.308	1.5	0.925	0.575	0.749	0.35	0.399	-10.072	1905.89		0
ZINC03815826_171	1GJ6.pdb_1H4W.pdb_1QBN.pdb	9	0.649	0.377	0.272	1.852	1.344	0.507	0.713	0.344	0.37	-9.36	1856.54		1
ZINC03938554_16	1GJ6.pdb_1H4W.pdb_1QBN.pdb	10	0.618	0.384	0.234	1.657	1.12	0.537	0.662	0.369	0.293	-7.332	2002.887		0
ZINC03834187_120	1GJ6.pdb_1H4W.pdb_1QBN.pdb	11	0.616	0.375	0.241	1.762	1.234	0.528	0.657	0.35	0.307	-7.713	1893.051		1
ZINC04633604_68	1GJ6.pdb_1H4W.pdb_1QBN.pdb	12	0.613	0.394	0.219	1.756	1.267	0.489	0.648	0.364	0.284	-7.138	1968.232		0
